path,bytes,sha256,git_inclusion
LICENSE,11558,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,eligible
LatentPort.pdf,672688,0e1453ffa9daa29de9266ccabc4f98eb93604d5c1be08693130c4248dd623b4b,eligible
e001_handoff/.gitignore,91,d70f334e36460892d0bf1dc82b50c70485e1daa218efe354032921493a531a8e,eligible
e001_handoff/ADAPTIVE_RESEARCH_LEDGER.md,8820,08447aa4f52b6d507485de2d5ff68dfbda94ab3ed9230d842d4f60497ea18465,eligible
e001_handoff/FROZEN_MANIFEST.json,13462,69bcca1bea1ecce2cc5c7c9728581aeca8ed9abf56028c2cd9c2fd7498efb0c9,eligible
e001_handoff/PREREGISTRATION.json,11572,598357a927f0de9de613d96351034a141aa0e08a29675175fdd840bd6269a19e,eligible
e001_handoff/PROTOCOL.md,7815,01e3bf0fdac88b972da6607b1b430a872ebd10f8d049dbb05a8f7693908abb3d,eligible
e001_handoff/__init__.py,63,6f003f62a9353643701826fc79a5e389b5585758905f17492990ca82a2e41506,eligible
e001_handoff/analysis/__init__.py,73,65e3cbf92e1b68c9452af709536425b4e135a8a49735d25cfe1255b65356225b,eligible
e001_handoff/analysis/build_final_manifest.py,3611,6a473a7e27d50d98ed94c951fabc14fb962cb3f7347b88572706f7ee217915ec,eligible
e001_handoff/analysis/finalize_4k.py,6284,8533eacdd5a08433f3d2afd4df0867e1c6a8e7f7c007aa51bff301a85f1acb79,eligible
e001_handoff/analysis/integrity.py,3741,638f4e16236af6bce5ed48c6d4ec0a8b18584b15e1da07bc815ded2ee246232c,eligible
e001_handoff/analysis/metrics.py,3400,2ef2cab0f4560f6d3f15960e4ebd35d7fd3d18016e3e975587deb225a5f34c6e,eligible
e001_handoff/analysis/postverdict_artifacts.py,20844,06c0dd89103c677e648c6a9063dcb25f3910e6e5ca46304f0ab76abccfa8a0b7,eligible
e001_handoff/analysis/verdict.py,8707,440165757778a761c4e99b28fbcb728091d90b3c32a7192bdd104e2357918d19,eligible
e001_handoff/artifacts/CURRENT_ATTEMPT.json,167,3cf900d115e35e08824edf17620523fff7e7b8dbcf3d60f6bec6f6f53e42bae7,eligible
e001_handoff/artifacts/attempt_001/EXECUTIVE_SUMMARY.md,2931,99d51f612ed21674ed8dd8eada857f1f802ec80295633aaacf20c9d77d0e757c,eligible
e001_handoff/artifacts/attempt_001/FINAL_ARTIFACT_MANIFEST.json,59351,a59fb16898d793b94a6339adb074d598e99140d68bb92e55f1d30b885019c1c3,eligible
e001_handoff/artifacts/attempt_001/REPORT.md,15038,ea5248c9484b78fb1117b0c732d44a38e1b5fedebef472a16b71c5be657e6d59,eligible
e001_handoff/artifacts/attempt_001/diagnostics/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,eligible
